,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review
24394,19639687,"Garden Apt, 1,800 sq ft",138210979,Michael,Brooklyn,Park Slope,40.67405,-73.97883,Entire home/apt,181,1,3,2017-07-15,0.12,1,0,723
38417,30246807,Stay into heart of Brooklyn close  Prospect Park B,227134858,Hitalo,Brooklyn,Prospect-Lefferts Gardens,40.66225,-73.94126,Private room,74,1,20,2019-06-23,2.83,5,125,15
30998,24034969,Harlem Charm in a Convenient Location.,40218949,Tom,Manhattan,East Harlem,40.79931,-73.94726,Private room,60,1,35,2019-06-24,2.34,1,94,14
19174,15250168,Bright Loft Room in a Charming Brooklyn Apartment,24273714,Aracelis,Brooklyn,Williamsburg,40.71381,-73.93903,Private room,85,1,31,2019-06-30,0.93,3,279,8
31300,24307110,Sunny Lower East Side Sanctuary,43321,Lucinda,Manhattan,Chinatown,40.71426,-73.99175,Entire home/apt,300,7,6,2019-07-06,0.44,1,19,2
30916,23943948,East Village Celebrity Townhouse,18598201,Patti,Manhattan,East Village,40.7235,-73.98534,Entire home/apt,1000,3,55,2019-07-04,3.5,1,37,4
20333,16243823,Warm Williamsburg Duplex Perfect for Christmas,32199225,Dania,Brooklyn,Williamsburg,40.7141,-73.94685,Entire home/apt,360,1,2,2016-12-26,0.06,1,0,924
39217,30578954,Beautiful Master Bedroom & Private Bath,15929157,Christina,Brooklyn,East New York,40.67199,-73.88253,Private room,36,15,1,2019-02-28,0.23,3,213,130
28338,22020038,"Captivating sunny studio, close to everything",47414802,Jason,Manhattan,Harlem,40.80427,-73.9506,Entire home/apt,115,20,4,2018-09-30,0.21,2,282,281
25487,20395432,Bright Beautiful Creative Luxury 1BR Williamsburg,17126502,Mitch,Brooklyn,Williamsburg,40.71279,-73.94154,Entire home/apt,144,4,10,2019-07-06,0.93,1,43,2
41989,32634839,Sonder | Stock Exchange | Cozy Studio + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70778,-74.01074,Entire home/apt,205,2,8,2019-06-16,2.64,327,327,22
29597,22715517,"Bedroom balcony, modern apt, rooftop williamsburg",17766980,Lucas,Brooklyn,Williamsburg,40.70788,-73.9511,Private room,65,3,5,2018-05-24,0.31,1,0,410
16860,13433027,Holistic Health Stay New York,69632344,Sister Shai,Queens,South Ozone Park,40.67866,-73.8068,Entire home/apt,100,5,44,2019-05-19,1.22,1,350,50
37371,29660984,charming Bedroom in a quite neighborhood,221751961,Maya,Staten Island,Oakwood,40.56028,-74.10678,Private room,46,1,4,2019-01-19,0.51,1,0,170
46384,35229075,Amazing 2 bedrooms in the heart of the Upper East,228545931,Ralph,Manhattan,Upper East Side,40.76768,-73.95455,Entire home/apt,320,2,1,2019-06-25,1.0,1,57,13
3631,2181941,Beautiful Apartment On Stivers Row,824689,Phyllis,Manhattan,Harlem,40.81562,-73.94426,Entire home/apt,112,3,22,2019-06-04,0.34,1,313,34
9014,6921974,Williamsburg Studio,35921273,Andrew,Brooklyn,Williamsburg,40.7173,-73.9532,Entire home/apt,160,1,1,2015-07-14,0.02,1,0,1455
3945,2454507,Close to everything - Jr 1 bedroom,9991763,Andrew,Manhattan,Financial District,40.70781,-74.00701,Entire home/apt,130,365,6,2016-10-02,0.1,1,262,1009
44662,34340758,Stunning views - prime Gramercy/Flatiron location!,257406510,Jayelle,Manhattan,Flatiron District,40.74054,-73.98681,Entire home/apt,389,4,4,2019-07-01,2.26,1,65,7
16455,13207158,Furnished Room in Large Lefferts Gardens Apt.,10580223,Andy,Brooklyn,Flatbush,40.65335,-73.95663,Private room,50,3,2,2016-07-05,0.05,2,27,1098
41112,31978375,UWS Cozy Shared Apartment near subway & Central Pk,11630930,Elizabeth,Manhattan,Upper West Side,40.80135,-73.96193,Shared room,60,1,17,2019-07-01,3.59,1,39,7
17134,13575747,"One bedroom in Astoria, Queens - No Hidden Fees",19477508,Vincent And Jessica,Queens,Astoria,40.76626,-73.91835,Entire home/apt,119,2,19,2019-05-31,0.52,1,0,38
6746,4838271,Modern fully furnished bedroom,1304390,Barry,Brooklyn,Bushwick,40.70037,-73.92821,Private room,85,4,2,2018-07-02,0.07,1,364,371
6984,5013302,Best location & Amazing view / Apt in Tribeca,10207681,Sol,Manhattan,Tribeca,40.71732,-74.00981,Entire home/apt,350,3,13,2019-05-16,0.36,1,69,53
28806,22244184,"Luxury Private Bed, Bath & Desk in Williamsburg",45858744,Augustine,Brooklyn,Williamsburg,40.70755,-73.95314,Private room,100,2,3,2018-10-14,0.3,1,0,267
24763,19885344,"Spacious, Airy, Private Bedroom",19608476,Celia,Manhattan,Washington Heights,40.83495,-73.94406,Private room,87,4,34,2019-06-28,1.41,1,31,10
40775,31668461,Amazing and Lofty 2BD space in Williamsburg,236432765,Aleks,Brooklyn,Williamsburg,40.71524,-73.9553,Entire home/apt,200,2,14,2019-06-30,3.93,2,330,8
25215,20185442,Renovated 1 Bedroom in Prime Bayridge,48685877,Ivana,Brooklyn,Bay Ridge,40.62707,-74.02817,Shared room,225,3,1,2017-08-31,0.04,1,87,676
28929,22292865,"BEDSTUY BK - PAD
SHORT/ LONG TERM STAYS
NO EVENTS",132130978,Mrs.,Brooklyn,Bedford-Stuyvesant,40.68644,-73.93967,Entire home/apt,150,1,50,2019-06-30,2.96,1,335,8
34628,27467399,Quality accommodation in a prime location!,100704594,Kate,Manhattan,Chelsea,40.74752,-73.9976,Private room,225,3,21,2019-05-21,2.03,1,8,48
33219,26227629,Spacious and Sunny Studio,26596078,Natalya,Brooklyn,Bay Ridge,40.62804,-74.02603,Entire home/apt,75,7,11,2019-05-19,0.91,1,3,50
33570,26560973,One bedroom apt with private yard in Williamsburg,23342828,Peggy,Brooklyn,Williamsburg,40.70807,-73.95565,Entire home/apt,125,3,6,2018-10-01,0.54,1,0,280
22981,18612722,2b2b apt in a luxury building,23297219,Aurora,Brooklyn,Williamsburg,40.71964,-73.96421,Entire home/apt,199,4,7,2018-04-29,0.28,2,65,435
5045,3625870,Modern Style Meets Old World,18264329,Joaquin,Brooklyn,Sunset Park,40.64894,-74.00621,Private room,85,3,47,2019-06-23,0.81,1,299,15
14931,11864530,Clean Room in a Renovated Apartment in Manhattan,45859087,Maya,Manhattan,Harlem,40.82403,-73.95379,Private room,75,20,18,2019-03-10,0.67,2,232,120
38352,30201810,Beautiful and Cozy Apartment in heart of NYC,226565802,Oksana,Queens,Rego Park,40.72664,-73.85884,Entire home/apt,250,2,1,2019-01-21,0.18,1,365,168
3185,1900780,1000 Sq Ft Loft in Flatiron.,9870396,Damian,Manhattan,Gramercy,40.73892,-73.98922,Entire home/apt,249,4,26,2019-01-03,0.62,1,281,186
29465,22611934,West Harlem- Recently renovated apartment for rent,74982218,Miki,Manhattan,Harlem,40.81309,-73.95336,Private room,32,4,45,2019-07-01,2.53,2,38,7
6026,4410626,Spacious neo-country seaside loft,22893493,Nick,Brooklyn,Red Hook,40.68039,-74.01729,Entire home/apt,245,1,50,2019-06-02,0.92,1,19,36
31598,24618542,"New Condo 2 bedrms /1,5bath elevator & balcony",55149412,Ha,Manhattan,Chinatown,40.71409,-73.99434,Entire home/apt,400,1,2,2018-10-07,0.2,4,191,274
4495,3095477,Luxury Family Sunny 2 bdrm 1 bath Apt Park Slope,15743167,Cristina,Brooklyn,South Slope,40.66508,-73.98974,Entire home/apt,200,2,14,2018-06-10,0.6,1,0,393
18228,14282491,Bedroom in East Williamsburg/ Bushwick Brooklyn,483600,Anne,Brooklyn,Williamsburg,40.70383,-73.94295,Private room,53,2,40,2019-05-11,1.15,1,1,58
10823,8339036,Top Floor 1 Bedroom Apt XpressTrain,11995451,Sam,Brooklyn,Midwood,40.62857,-73.94828,Entire home/apt,78,2,114,2019-06-20,2.65,1,217,18
7533,5641644,Private Cozy Room in Crown Heights,25354313,Tommy,Brooklyn,Crown Heights,40.67413,-73.95916,Private room,35,3,54,2019-01-27,1.18,2,0,162
33793,26779818,NEW Bright West Village 2 Bed,201369441,Teddy,Manhattan,West Village,40.7383,-74.00131,Entire home/apt,325,2,9,2018-12-05,0.76,1,0,215
13759,10355146,Brooklyn's Finest,3530446,Maurice,Brooklyn,Crown Heights,40.67785,-73.95217,Entire home/apt,155,3,71,2019-07-01,1.81,3,302,7
11581,9013280,Luxury studio Bedstuy Brooklyn,8011670,Joel,Brooklyn,Bedford-Stuyvesant,40.68757,-73.93032,Entire home/apt,70,2,77,2019-06-29,1.77,1,274,9
22490,18191456,Amazing Studio in Downtown Flushing,5962328,Alan,Queens,Flushing,40.75933,-73.82313,Entire home/apt,115,30,3,2019-05-24,0.12,15,7,45
9052,6942211,Sunny UWS Apt Steps to Central Park,10124757,Ning,Manhattan,Upper West Side,40.78905,-73.96748,Entire home/apt,185,8,3,2016-01-03,0.06,1,0,1282
16335,13137538,Private Room minutes to/from Manhattan,206337,Anna,Queens,Sunnyside,40.7459,-73.92441,Private room,71,3,40,2019-05-21,1.06,1,286,48
12630,9698613,"1 Bedroom Sublet in Astoria, NY",50084376,Asijah,Queens,Ditmars Steinway,40.77472,-73.90993,Private room,35,1,2,2016-01-05,0.05,1,0,1280
24172,19472906,Modern one bedroom condo in Central Fort Greene BK,135831798,Keisha,Brooklyn,Fort Greene,40.69269,-73.97093,Entire home/apt,180,3,42,2019-07-01,1.91,1,73,7
37918,29989586,Cozy private bedroom,225454310,Tosin,Queens,Far Rockaway,40.59894,-73.75629,Private room,85,1,2,2019-06-09,0.38,4,362,29
39317,30685679,Home in NYC 1 BR Apartment Midtown Retreat,2239610,Tanya,Manhattan,Hell's Kitchen,40.756,-73.99804,Entire home/apt,165,5,10,2019-07-06,1.47,1,31,2
28925,22291811,Charming flat with Williamsburg view,162923870,Etienne,Brooklyn,Williamsburg,40.71967,-73.9643,Entire home/apt,149,9,13,2019-07-01,0.86,1,29,7
22639,18313864,"Large, Sunny, Cozy Room in the Heart of Bed-Stuy!",22591747,Femi & Toya,Brooklyn,Bedford-Stuyvesant,40.67922,-73.94937,Private room,60,4,39,2019-06-15,1.46,1,338,23
7155,5211090,"Central 1 bdrm, W/D, roof deck",26958002,Justin,Manhattan,Kips Bay,40.74041,-73.98176,Entire home/apt,225,2,2,2015-06-25,0.04,1,0,1474
727,265831,Bright unique designer loft in Soho,1394190,Jen,Manhattan,Nolita,40.72313,-73.99438,Entire home/apt,310,5,5,2018-07-05,0.09,1,89,368
25625,20517554,"*Light & Love* vibrant, historic, sleeps 4",146472361,Jc,Manhattan,Nolita,40.7212,-73.99463,Entire home/apt,265,5,87,2019-06-23,3.79,1,118,15
42157,32726808,Stylish & Cozy Room Same Street As The Subway,219727469,Marcelo,Brooklyn,Bedford-Stuyvesant,40.67803,-73.9102,Private room,75,1,17,2019-06-16,4.51,4,227,22
42544,33033160,beautiful shared apt in Midtown,248068752,Gúney,Manhattan,Hell's Kitchen,40.76448,-73.98895,Shared room,75,1,20,2019-06-16,5.17,5,365,22
18002,14102790,"Clean and modern in prime Carroll Gardens, BK",84902242,Scott,Brooklyn,Carroll Gardens,40.67615,-74.00004,Private room,80,3,47,2019-05-13,1.4,1,308,56
27701,21753773,oasis 2,156505456,John,Brooklyn,East New York,40.66114,-73.88889,Private room,30,3,28,2019-05-28,1.43,13,90,41
32766,25812700,Airy Brownstone 20 minutes to Manhattan/Groups,33290222,Kelly,Brooklyn,Bedford-Stuyvesant,40.68279,-73.91947,Entire home/apt,140,2,42,2019-06-30,3.19,1,26,8
15977,12915928,"Renovated 3BR, 2 Full Bath with Washer & Dryer",70058270,Lucy,Brooklyn,Crown Heights,40.66623,-73.93113,Entire home/apt,275,3,27,2019-04-07,0.71,4,271,92
15143,12089692,Ground Floor Apartment in Brooklyn!,268961,Erica & Tayo,Brooklyn,Bedford-Stuyvesant,40.6805,-73.94612,Entire home/apt,67,3,88,2019-01-31,2.22,1,0,158
41875,32550619,Cozy Upper West Side Spacious Studio,51268465,Sebastian,Manhattan,Upper West Side,40.79467,-73.96923,Entire home/apt,135,1,1,2019-03-30,0.3,1,0,100
16218,13082600,Cozy 1 bedroom apartment in the heart of Manhattan,4980733,Simona,Manhattan,Midtown,40.75584,-73.96979,Entire home/apt,300,1,38,2019-06-27,1.01,1,361,11
24608,19786240,Venice Beach Meets Brooklyn  Stunning Townhouse,20063690,Naheima,Brooklyn,Bedford-Stuyvesant,40.68827,-73.94943,Entire home/apt,550,3,4,2018-09-03,0.22,2,97,308
43304,33574976,"Still NYC...  Grymes Hill, Staten Island",246224359,Julie Ann,Staten Island,Grymes Hill,40.6105,-74.09132,Entire home/apt,115,1,1,2019-06-30,1.0,1,339,8
47448,35739927,"Charming ""Library"" Apt, Heart of Greenwich Village",4129805,Evelyn,Manhattan,West Village,40.73286,-74.00244,Entire home/apt,175,2,2,2019-06-21,2.0,5,79,17
3471,2080861,Spacious 3BD/2BA - Parking Included,10630723,Nancy,Brooklyn,Bedford-Stuyvesant,40.69142,-73.93481,Entire home/apt,177,3,209,2019-06-26,3.11,2,237,12
539,196010,Huge Bklyn Loft w Private Roofdeck,953565,Vanessa,Brooklyn,Park Slope,40.67595,-73.98053,Entire home/apt,265,5,15,2015-06-14,0.16,1,0,1485
36906,29337184,J- HOTEL STYLE SHARE ROOM FOR 2PPL FREE WIFI CABLE,8814258,Nikole,Queens,South Ozone Park,40.67293,-73.79554,Shared room,30,4,1,2019-05-03,0.45,7,365,66
21082,16721040,Beautiful Fort Greene triplex with Yard,3915722,Bettina,Brooklyn,Fort Greene,40.6864,-73.96882,Entire home/apt,550,3,1,2019-04-29,0.42,1,15,70
5477,3963635,"A 2-story, 2-bedroom house - 20min to Downtown",20543178,Pervaiz,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93705,Entire home/apt,210,2,10,2019-05-18,0.21,2,180,51
34409,27285058,Great Private Bedroom in Ridgewood! 3L-3,205530337,Nina,Queens,Ridgewood,40.70285,-73.90411,Private room,45,30,1,2019-06-01,0.77,8,331,37
14088,10789911,One Bedroom in Astoria,32003714,Christopher,Queens,Ditmars Steinway,40.77567,-73.92202,Private room,90,7,3,2018-08-05,0.09,1,358,337
28988,22310190,COZY&QUITE WITH PARK AROUND THE BLOCK BARS & SHOPS,163103487,Raquel,Manhattan,East Village,40.72515,-73.98422,Entire home/apt,199,7,13,2019-06-11,0.82,1,349,27
4670,3272721,Beautiful Penthouse Apt - Brooklyn,4080758,Arun,Brooklyn,Prospect Heights,40.68033,-73.96528,Entire home/apt,125,5,5,2016-01-05,0.08,1,0,1280
33415,26412930,Zen Brooklyn,209300,Gina,Brooklyn,Fort Greene,40.68731,-73.9751,Private room,85,1,8,2018-09-01,0.66,2,0,310
22668,18348443,Songwriter Santuary - room with private entrance,26091462,Tanya,Brooklyn,Bedford-Stuyvesant,40.69374,-73.94764,Private room,60,1,3,2017-05-24,0.11,2,0,775
10314,7899605,COZY ROOM CLOSE TO TOUR SITES,39472987,Eileen,Manhattan,Harlem,40.82861,-73.94127,Private room,58,1,5,2016-09-19,0.11,1,0,1022
45482,34784469,"Premier room in Downtown NYC, Spacious and Private",250825715,Cherry,Manhattan,Chinatown,40.71716,-73.99716,Private room,90,1,1,2019-06-21,1.0,3,39,17
20627,16381905,Skyline #1 view ny skyline,93121568,Charles,Bronx,Concourse,40.82415,-73.92778,Private room,50,2,63,2019-07-01,2.06,2,110,7
13891,10522830,Beautiful garden studio in Bushwick,1855214,Marie-Adele,Brooklyn,Bushwick,40.69366,-73.91608,Entire home/apt,85,2,99,2019-06-17,2.5,1,29,21
5761,4198695,Large and furnished,21782731,Marley,Brooklyn,Midwood,40.62735,-73.95704,Private room,50,7,7,2016-07-31,0.12,1,364,1072
7770,5892693,"Large, sunny, private studio Apt 2F",29739883,Adam & Allen,Brooklyn,Greenpoint,40.72232,-73.9434,Entire home/apt,110,2,248,2019-06-13,4.82,2,1,25
402,131154,Cozy and Bright One Bedroom in BK,275563,Lauren,Brooklyn,Greenpoint,40.72473,-73.95199,Entire home/apt,165,2,175,2019-07-07,1.79,1,139,1
33446,26441519,Sunny & colorful room in Bushwick w/ yard access,16865342,Elene,Brooklyn,Bushwick,40.70553,-73.91938,Private room,53,2,29,2019-06-20,2.46,2,143,18
45295,34654078,Nice room,261448151,Bilhal,Bronx,Longwood,40.82285,-73.90198,Private room,55,2,5,2019-06-28,3.33,1,351,10
23870,19265835,Private Apt Renovated 2BR by Central Park & Cafés,1366844,Ali,Manhattan,Harlem,40.80079,-73.95798,Entire home/apt,135,3,71,2019-06-09,3.52,1,9,29
26541,21120547,Full Apartment / 1 Bedroom ( Lower Level),152331348,Juan,Queens,Richmond Hill,40.69474,-73.82284,Entire home/apt,85,2,33,2019-06-16,1.62,1,179,22
37424,29698179,QUIET Zen Garden Pad in BEST Brooklyn location!,324657,Laura,Brooklyn,Park Slope,40.67918,-73.97408,Entire home/apt,108,3,15,2019-06-16,1.87,1,8,22
12145,9425357,Large bedroom available in 2-bedroom apt.,31985378,Adrian,Brooklyn,Williamsburg,40.7158,-73.95587,Private room,90,2,3,2019-06-10,0.48,1,6,28
31281,24287857,Astoria Centeral Location,183211776,Rafael,Queens,Astoria,40.76387,-73.90995,Private room,79,1,73,2019-06-30,5.03,4,171,8
11788,9170129,New Apt -2 Blocks CENTRAL PARK Near COLUMBIA UNIV,46973966,Lorena,Manhattan,Harlem,40.79939,-73.9547,Entire home/apt,249,7,107,2019-06-23,2.4,2,249,15
41739,32461960,Riverdale Pad,163737392,K,Bronx,Fieldston,40.896,-73.89964,Private room,64,1,11,2019-06-27,3.47,2,358,11
31842,24849193,Cozy Tropical NYC Room with Stunning View,36364146,Tomas,Manhattan,Morningside Heights,40.80672,-73.96713,Private room,125,6,3,2018-12-28,0.22,1,34,192
23332,18891659,Private Upper East Side Room Great Location!,27552154,Sylvia,Manhattan,Upper East Side,40.76275,-73.96093,Private room,110,2,9,2018-02-19,0.36,2,0,504
32603,25587778,Cozy Bedroom Full of Sunshine,46979077,Maya,Queens,Woodside,40.74286,-73.89163,Private room,50,1,57,2019-06-23,4.37,2,295,15
10337,7914369,Charming 1 Bedroom Garden Apt!,2010157,Alex,Brooklyn,Bedford-Stuyvesant,40.68372,-73.91994,Entire home/apt,120,2,92,2019-07-03,2.02,1,54,5
26231,20914119,**Amazing Studio Balcony Steps from Time Square**,52950465,Gal,Manhattan,Hell's Kitchen,40.7605,-73.99189,Entire home/apt,129,30,1,2017-12-05,0.05,12,310,580
19347,15436836,Carroll Gardens Apartment,8977158,Viki,Brooklyn,Carroll Gardens,40.68384,-73.99813,Entire home/apt,175,2,129,2019-06-22,3.92,2,206,16
31005,24039582,BedSTUY SupperCLUB,14795719,Shirley,Brooklyn,Bedford-Stuyvesant,40.68491,-73.93399,Private room,45,6,30,2019-06-20,2.06,1,21,18
39728,30914114,Beautiful and cozy street view 1BR in W Village,54501105,Sophie,Manhattan,West Village,40.7328,-74.00468,Entire home/apt,180,3,15,2019-06-08,2.68,2,166,30
40677,31557578,Cozy room next to subways and Prospect Park,227134858,Hitalo,Brooklyn,Prospect-Lefferts Gardens,40.66238,-73.94289,Private room,58,1,8,2019-06-30,1.56,5,158,8
37278,29614352,Steps from Times Square and Subway!,9489892,Serim,Manhattan,Hell's Kitchen,40.76186,-73.98851,Private room,99,1,15,2019-06-16,1.81,1,0,22
23251,18826197,Room in 5 bedroom house with a backyard!,65407018,Harmony,Brooklyn,Greenpoint,40.72284,-73.93671,Private room,85,5,45,2019-05-28,1.79,5,355,41
34078,27001229,Cozy quite room for 2,149296850,Septina,Brooklyn,Bedford-Stuyvesant,40.69359,-73.93911,Private room,80,2,3,2018-10-02,0.26,4,82,279
2424,1203812,Quiet minimal clean,6575712,Emma,Manhattan,East Village,40.73138,-73.98807,Entire home/apt,125,2,28,2019-05-20,0.45,1,179,49
16508,13233830,Beautiful Historic Brooklyn Townhouse! 4Br/3.5Bath,24743701,Renata And Howard,Brooklyn,Prospect-Lefferts Gardens,40.66108,-73.95567,Entire home/apt,650,5,3,2019-07-02,0.08,2,23,6
13932,10551695,Sunny Apt in Cultural Neighborhood,54422839,Sarah,Brooklyn,Prospect Heights,40.68018,-73.96572,Private room,48,3,4,2017-08-22,0.1,1,0,685
4365,2936517,Boerum Hill 2BR Garden Apartment,686494,Molly,Brooklyn,Gowanus,40.68322,-73.98968,Entire home/apt,180,1,183,2019-06-23,2.9,1,197,15
9666,7429161,BLUE SKIES AND GREEN TREES IN NYC.,38914517,Jean,Brooklyn,Flatbush,40.64213,-73.95298,Private room,180,1,22,2016-11-20,0.5,2,89,960
2010,888583,Gorgeous Greenpoint Railroad,4282125,Caroline,Brooklyn,Greenpoint,40.734,-73.95474,Entire home/apt,120,2,27,2019-01-01,0.35,1,280,188
36745,29209379,"Green Rm,4 bdrm House Medical & Professional ONLY",214611101,Myra,Brooklyn,Kensington,40.638,-73.97652,Private room,50,30,1,2018-12-01,0.14,4,130,219
21075,16712302,"NYMT06-1 LUXURY! one bedroom,Gym,doorman Ap-A",3507099,MyCity,Manhattan,Hell's Kitchen,40.76591,-73.99016,Entire home/apt,160,45,5,2018-12-06,0.18,2,311,214
14897,11826892,Private Room in Gorgeous Loft,50556869,Kristen,Brooklyn,Bedford-Stuyvesant,40.68738,-73.91906,Private room,70,2,2,2017-10-09,0.05,1,0,637
34868,27639832,Welcome to Historic Harlem!,45835291,Shareef,Manhattan,Harlem,40.82424,-73.9554,Private room,70,7,49,2019-06-29,4.55,6,22,9
25959,20729892,Nice and Cozy Room in Astoria Close to Manhattan.,100833625,Yunmi,Queens,Long Island City,40.75401,-73.92013,Private room,49,1,4,2017-11-26,0.19,1,0,589
41559,32306527,RM#2-Bright room w/balcony 30 mins NYC & airports,241963980,Deborah,Queens,Jamaica Hills,40.71686,-73.79742,Private room,67,2,25,2019-07-07,6.88,2,318,1
35864,28466730,Akouaba,214888995,Adama,Bronx,Belmont,40.85267,-73.88627,Private room,50,2,51,2019-07-06,5.17,1,325,2
3545,2115611,Large 1 bedroom apartment next to Prospect Park,1998676,Mal,Brooklyn,Windsor Terrace,40.65022,-73.97247,Entire home/apt,130,29,16,2018-12-19,0.26,1,217,201
21671,17400624,First Floor Studio on the Upper East Side!,20410925,Leyla,Manhattan,Upper East Side,40.78007,-73.94803,Entire home/apt,125,3,30,2019-06-28,1.08,1,4,10
37429,29701773,Chic one bedroom apartment in the heart of NYC,5224789,Mona,Manhattan,Hell's Kitchen,40.76072,-73.98993,Entire home/apt,150,4,3,2019-06-12,0.44,1,3,26
19003,15094172,Spacious Sun Light Studio in Heart of Williamburg.,95552798,Susan,Brooklyn,Williamsburg,40.7176,-73.96148,Entire home/apt,250,3,19,2018-10-01,0.57,1,7,280
7392,5481762,Artfully Renovated Brownstone Space,5515591,Tina,Brooklyn,Bedford-Stuyvesant,40.68685,-73.95526,Entire home/apt,159,4,142,2019-01-04,2.74,2,24,185
43750,33846501,Packaged for one and groups (QUEEN B),242631139,Glen,Brooklyn,East Flatbush,40.64683,-73.93003,Private room,90,2,6,2019-06-02,2.25,4,360,36
41245,32095668,Fully Private Cozy Studio Close to NY Attractions!,110539055,Manny,Bronx,Williamsbridge,40.87905,-73.85243,Entire home/apt,76,2,14,2019-07-01,2.98,2,300,7
28909,22281732,"Private Room (rm4), 5 mins from Columbia",21410914,Eugene,Manhattan,Morningside Heights,40.8112,-73.95967,Private room,100,3,42,2019-06-16,2.43,6,0,22
37315,29630879,Heart of Astoria- Extremely close to the CITY,219720888,Shuhel,Queens,Long Island City,40.75918,-73.93299,Entire home/apt,120,1,30,2019-02-25,3.66,1,6,133
31877,24871779,Lovely Lincoln Center Studio,3033697,Navid,Manhattan,Upper West Side,40.78054,-73.984,Entire home/apt,137,6,5,2019-05-21,0.37,1,0,48
18439,14500533,Charming brick brownstone w/ backyard (ground flr),70397297,Amy,Brooklyn,Bushwick,40.70269,-73.91426,Entire home/apt,85,3,7,2018-08-20,0.2,1,0,322
20829,16497297,Glass factory loft,5379884,Jacob,Brooklyn,Greenpoint,40.73792,-73.95541,Private room,60,7,5,2019-05-31,0.16,1,0,38
46145,35115612,Quiet Manhattan Apartment,264495166,Jordania,Manhattan,Morningside Heights,40.8019,-73.95924,Private room,210,1,1,2019-06-20,1.0,3,86,18
28800,22241250,Newly renovated 1br in the heart of NY,4148879,Carlos,Manhattan,Flatiron District,40.74212,-73.99042,Entire home/apt,249,4,3,2019-05-22,0.16,1,0,47
12886,9818465,Sunny apt in morningside heights,24554945,Michael E.,Manhattan,Morningside Heights,40.80761,-73.95841,Entire home/apt,125,6,5,2019-01-01,0.16,1,1,188
26017,20763209,Clean Chinatown Studio,10388662,Frances,Manhattan,Chinatown,40.71515,-73.99863,Entire home/apt,145,4,13,2019-06-10,0.63,1,86,28
32424,25389925,Stunning duplex. EXCELLENT location. Fort Greene!!,7076239,Annie And Joan,Brooklyn,Fort Greene,40.68677,-73.97298,Entire home/apt,375,2,13,2018-12-30,0.96,2,158,190
35563,28226667,BP- BEAUTIFUL COZY  ROOM FOR 2 NEAR MANHATTAN wifi,213208277,Darry,Brooklyn,Borough Park,40.64189,-73.99357,Private room,60,5,5,2019-07-01,0.53,8,364,7
27454,21634979,Lower East Side Entire Floor Big Bright & Spacious,32203986,Kym,Manhattan,Lower East Side,40.71389,-73.98239,Entire home/apt,400,3,8,2019-06-09,1.1,1,91,29
37784,29923760,Lovely BRIGHT apt in Ft. Hamilton Brooklyn,186701037,Gabriela,Brooklyn,Dyker Heights,40.62827,-74.01078,Shared room,39,5,1,2019-06-01,0.77,2,89,37
36739,29203845,Chic & Charming Brownstone Apartment 2 Bed w/Patio,3849025,Ana,Brooklyn,Bedford-Stuyvesant,40.69391,-73.94352,Entire home/apt,180,5,18,2019-06-12,2.18,1,106,26
771,276482,Comfortable Manhattanville.,305972,Allan,Manhattan,Harlem,40.81371,-73.95585,Private room,85,6,130,2019-06-02,1.42,2,97,36
40686,31564614,Solo/Couple 2 Stops from the city (good price!),235548617,Khalid,Queens,Long Island City,40.75683,-73.93184,Private room,55,1,29,2019-06-19,5.37,2,1,19
25314,20242938,Belo Quarto/w/UPGRADE to entire apartment,166634,Lou,Brooklyn,Brownsville,40.66192,-73.91371,Private room,59,2,34,2019-06-11,1.47,5,0,27
15602,12567868,Nice bedroom in east village apartment,68138404,Phil,Manhattan,East Village,40.72997,-73.98009,Private room,60,3,50,2019-06-23,1.31,1,240,15
28456,22078755,Bohemian East Village Apartment,50292311,Brian,Manhattan,East Village,40.72837,-73.98546,Entire home/apt,250,4,17,2019-05-28,1.1,1,5,41
22058,17750238,Great room in a spacious Inwood Apartment,13860679,Max,Manhattan,Inwood,40.86348,-73.92232,Private room,99,3,4,2018-10-03,0.15,3,179,278
26068,20799506,BunkBeds 5 min to NYC 900Mb Full Closet,30384194,Patricio,Queens,Astoria,40.75713,-73.91334,Private room,99,3,1,2017-09-16,0.05,2,328,660
37863,29964050,"XL 1bed, 2bath duplex, w. yard, 1 block to subway",128230715,Reid,Brooklyn,Bedford-Stuyvesant,40.68012,-73.94795,Entire home/apt,200,3,1,2019-05-27,0.68,1,11,42
15740,12730434,"Bright, airy apartment in Brooklyn",19710054,Leah,Brooklyn,Bedford-Stuyvesant,40.68831,-73.95602,Entire home/apt,125,2,5,2017-08-08,0.14,1,0,699
19683,15770469,Large sunny room Williamsburg ten mins to City,101982307,Belinda,Brooklyn,Williamsburg,40.71512,-73.95655,Private room,80,2,29,2018-10-30,0.9,2,34,251
24538,19734117,"UES: Bdrm Sunny Corner Apt, 3 flights of stairs up",139135366,Eileen,Manhattan,Upper East Side,40.76864,-73.95427,Entire home/apt,175,2,20,2019-06-15,0.88,1,0,23
